

BUFFER,FROM_INSTANCE.PORT,TO_INSTANCE.PORT,SIZE,MEMORY_GROUP,BANK,OFFSET,DMA_NEEDED
buf215,aie_graph._dma[75].po0,aie_graph.k_mac_top[54].pi1,256,"(36, 2)",2,0,-
buf590,p_ab_53.po0,aie_graph.k_mac_top[52].pi0,128,"(40, 2)",1,2112,-
buf216,aie_graph._dma[76].po0,aie_graph.k_mac_top[55].pi1,256,"(37, 2)",0,0,-
buf591,p_ab_54.po0,aie_graph.k_mac_top[53].pi0,128,"(42, 2)",1,8064,-
buf213,aie_graph._dma[73].po0,aie_graph.k_mac_top[52].pi1,256,"(39, 2)",2,0,-
buf64,p_ab_53.po0,aie_graph.k_mac_top[52].pi0,128,"(40, 2)",2,0,-
buf592,p_ab_55.po0,aie_graph.k_mac_top[54].pi0,128,"(36, 2)",0,8064,-
buf66,p_ab_55.po0,aie_graph.k_mac_top[54].pi0,128,"(36, 2)",1,8064,-
buf593,p_ab_56.po0,aie_graph.k_mac_top[55].pi0,128,"(37, 2)",3,0,-
sysmem366,-,-,6176,"(38, 2)",0,0,-
sysmem365,-,-,6176,"(41, 2)",0,2016,-
buf214,aie_graph._dma[74].po0,aie_graph.k_mac_top[53].pi1,256,"(42, 2)",0,7936,-
buf168,aie_graph._dma[28].po0,aie_graph.k_mac_top[7].pi1,256,"(38, 0)",2,0,-
buf542,p_ab_5.po0,aie_graph.k_mac_top[4].pi0,128,"(42, 1)",1,2112,-
buf167,aie_graph._dma[27].po0,aie_graph.k_mac_top[6].pi1,256,"(37, 0)",0,7936,-
buf19,p_ab_8.po0,aie_graph.k_mac_top[7].pi0,128,"(38, 0)",1,0,-
buf543,p_ab_6.po0,aie_graph.k_mac_top[5].pi0,128,"(44, 0)",1,2112,-
buf17,p_ab_6.po0,aie_graph.k_mac_top[5].pi0,128,"(44, 0)",2,0,-
sysmem390,-,-,6176,"(37, 0)",1,0,-
buf544,p_ab_7.po0,aie_graph.k_mac_top[6].pi0,128,"(37, 0)",1,8064,-
buf693,aie_graph._dma[27].po0,aie_graph.k_mac_top[6].pi1,256,"(37, 0)",2,0,-
buf18,p_ab_7.po0,aie_graph.k_mac_top[6].pi0,128,"(37, 0)",3,0,-
buf545,p_ab_8.po0,aie_graph.k_mac_top[7].pi0,128,"(38, 0)",0,0,-
sysmem379,-,-,6176,"(44, 0)",0,0,-
sysmem409,-,-,6176,"(41, 1)",0,0,-
sysmem368,-,-,6176,"(42, 1)",0,0,-
buf692,aie_graph._dma[26].po0,aie_graph.k_mac_top[5].pi1,256,"(44, 1)",0,256,-
buf196,aie_graph._dma[56].po0,aie_graph.k_mac_top[35].pi1,256,"(20, 4)",0,0,-
buf44,p_ab_33.po0,aie_graph.k_mac_top[32].pi0,128,"(19, 7)",2,0,-
buf571,p_ab_34.po0,aie_graph.k_mac_top[33].pi0,128,"(20, 7)",3,0,-
buf570,p_ab_33.po0,aie_graph.k_mac_top[32].pi0,128,"(19, 7)",1,2112,-
buf195,aie_graph._dma[55].po0,aie_graph.k_mac_top[34].pi1,256,"(19, 4)",2,0,-
sysmem354,-,-,6176,"(19, 5)",2,256,-
sysmem355,-,-,6176,"(20, 6)",0,0,-
buf572,p_ab_35.po0,aie_graph.k_mac_top[34].pi0,128,"(19, 5)",0,0,-
buf46,p_ab_35.po0,aie_graph.k_mac_top[34].pi0,128,"(19, 5)",1,8064,-
buf573,p_ab_36.po0,aie_graph.k_mac_top[35].pi0,128,"(20, 5)",1,0,-
buf193,aie_graph._dma[53].po0,aie_graph.k_mac_top[32].pi1,256,"(19, 6)",2,0,-
buf194,aie_graph._dma[54].po0,aie_graph.k_mac_top[33].pi1,256,"(20, 7)",0,0,-
buf614,p_ab_77.po0,aie_graph.k_mac_top[76].pi0,128,"(19, 0)",3,0,-
buf239,aie_graph._dma[99].po0,aie_graph.k_mac_top[78].pi1,256,"(20, 0)",2,0,-
buf615,p_ab_78.po0,aie_graph.k_mac_top[77].pi0,128,"(19, 2)",1,2112,-
buf240,aie_graph._dma[100].po0,aie_graph.k_mac_top[79].pi1,256,"(20, 2)",2,0,-
buf90,p_ab_79.po0,aie_graph.k_mac_top[78].pi0,128,"(20, 0)",0,0,-
sysmem429,-,-,6176,"(19, 1)",1,2016,-
buf238,aie_graph._dma[98].po0,aie_graph.k_mac_top[77].pi1,256,"(19, 3)",0,0,-
buf617,p_ab_80.po0,aie_graph.k_mac_top[79].pi0,128,"(20, 1)",3,0,-
buf237,aie_graph._dma[97].po0,aie_graph.k_mac_top[76].pi1,256,"(19, 0)",0,0,-
buf763,aie_graph._dma[97].po0,aie_graph.k_mac_top[76].pi1,256,"(19, 0)",1,4256,-
