exec_time,write_time,read_time
0.0231278,0.0390561,0.0648563
0.023749,0.0466839,0.0484299
0.0230133,0.102264,0.0405378
0.0230134,0.253096,0.085841
0.0230269,0.0393137,0.0259476
0.0231458,0.109125,0.0315632
0.0229302,0.0408297,0.030258
0.0230537,0.0390729,0.0298638
0.0230262,0.0392464,0.0272776
0.023026,0.0413791,0.0307982
0.0229462,0.0393259,0.030243
0.0230441,0.040016,0.0371779
0.0230519,0.0399823,0.0271435
0.0229946,0.0405293,0.0298816
0.0229964,0.0387551,0.0296655
0.0229896,0.0431051,0.0471177
0.0231169,0.0450309,0.0498062
0.0230749,0.277575,0.0936976
0.0231081,0.110191,0.0278507
0.0231336,0.0442047,0.0309796
0.0231143,0.0433334,0.0308141
0.0229508,0.0454258,0.030431
0.0230208,0.0407754,0.030892
0.0231332,0.0439975,0.0300979
0.022894,0.242199,0.0886746
0.0230315,0.113636,0.026895
0.0231314,0.0412413,0.0308309
0.0231601,0.0437788,0.0278344
0.0229981,0.041999,0.0276367
0.0231059,0.0427014,0.0282643
0.0230833,0.243651,0.0869581
0.023105,0.0408118,0.0295686
0.0229872,0.115108,0.0261154
0.0230799,0.0408351,0.0302814
0.0230526,0.0411306,0.0311688
0.0230098,0.0405006,0.0319189
0.023089,0.0415793,0.0304286
0.0230526,0.0392264,0.0297815
0.0230741,0.0402507,0.0302912
0.0231821,0.0400297,0.0306876
0.0229111,0.0404952,0.0240139
0.0230709,0.0405412,0.030164
0.0231564,0.0409778,0.0240106
0.0230223,0.242396,0.0844322
0.0230093,0.0396961,0.0295544
0.0230372,0.116056,0.023687
0.0230924,0.0397358,0.0207488
0.0229371,0.0407398,0.0305445
0.0229867,0.0411654,0.0285235
0.0230533,0.0400471,0.0314502
