exec_time,write_time,read_time
0.019025,0.0402621,0.0657644
0.0189949,0.039606,0.0204483
0.0189964,0.0399164,0.0280053
0.0189955,0.0470231,0.0317362
0.0190419,0.0461161,0.0358164
0.0189986,0.0463234,0.0315543
0.019005,0.369431,0.0937727
0.0189988,0.318488,0.0786597
0.0190164,0.110309,0.0775277
0.0190169,0.243638,0.0255297
0.0189914,0.0407846,0.0196373
0.0189818,0.0418312,0.0241082
0.019022,0.0423783,0.0256115
0.0189941,0.0413095,0.0258909
0.0189899,0.0405266,0.0210538
0.0189673,0.116598,0.0789376
0.0189997,0.245111,0.0190369
0.0189524,0.0407816,0.0222896
0.0189508,0.040639,0.0251234
0.0189566,0.0396487,0.0229908
0.0189794,0.0403329,0.0226472
0.0189619,0.0414247,0.0229193
0.0189451,0.0405401,0.0230721
0.0189754,0.316129,0.0833687
0.0189741,0.0408948,0.0252244
0.0189816,0.0412805,0.0225758
0.018958,0.0401924,0.0194331
0.0189825,0.0409003,0.0258514
0.0189779,0.0408046,0.0264761
0.0190173,0.0412915,0.0218849
0.0190155,0.0408574,0.0221168
0.0189848,0.0419853,0.0236036
0.0190401,0.109872,0.0836365
0.0190156,0.244579,0.0243634
0.0189376,0.0406808,0.0230506
0.0189661,0.0415405,0.0244215
0.0189924,0.0406657,0.0238684
0.019022,0.0412656,0.0255078
0.0190115,0.0409027,0.0248236
0.019002,0.0465756,0.0263472
0.0190015,0.0400048,0.0219707
0.0189804,0.0404263,0.0257417
0.0189881,0.315271,0.0798041
0.0189921,0.0419705,0.0248172
0.0190179,0.0401847,0.024981
0.0189875,0.03987,0.0201014
0.0189852,0.0409872,0.0244258
0.0189911,0.0407651,0.0265883
0.0189953,0.0414403,0.0260018
0.0190146,0.0401339,0.025901
0.0189945,0.0403498,0.023815
