exec_time,write_time,read_time
0.0210487,0.239918,0.133084
0.0210038,0.318149,0.0822888
0.0209994,0.114969,0.0235803
0.0210053,0.24012,0.0843942
0.0210117,0.118838,0.0246795
0.0210092,0.0403271,0.0258053
0.0209959,0.0398694,0.0298974
0.0210051,0.040508,0.0247267
0.0209942,0.042943,0.0241963
0.0210117,0.0406339,0.0258684
0.0209912,0.0405129,0.0316495
0.0210198,0.0402737,0.0248116
0.0210118,0.0434219,0.0242767
0.021007,0.0400257,0.0289292
0.0209696,0.0434065,0.0231673
0.0210029,0.0402699,0.0240452
0.0210058,0.0401029,0.0302494
0.021,0.0400128,0.024469
0.021012,0.0405028,0.0266133
0.0210046,0.0403231,0.025664
0.0209736,0.316694,0.0844521
0.0209699,0.0400029,0.0254521
0.0209928,0.0403917,0.0242936
0.0210006,0.0395159,0.0333276
0.021001,0.0399266,0.0314887
0.0210111,0.0398499,0.0231374
0.0209764,0.0410209,0.0257033
0.0209951,0.0398056,0.0308639
0.0209953,0.0409783,0.026379
0.0209651,0.0387155,0.0298216
0.0210013,0.0395934,0.0299414
0.0210171,0.0403126,0.0252722
0.0209971,0.0387391,0.0245438
0.0210092,0.0398469,0.0292655
0.0210088,0.0403763,0.0295087
0.0210028,0.0406594,0.0241636
0.0210009,0.243065,0.0824733
0.0210037,0.115452,0.0241508
0.0210239,0.039069,0.0248799
0.021008,0.0432861,0.0238811
0.0209931,0.0393823,0.0252788
0.0210013,0.0402646,0.0245553
0.0209898,0.0398597,0.0241599
0.0210155,0.0402302,0.0270709
0.0210101,0.0401373,0.0256153
0.0210088,0.0395439,0.0246318
0.0209994,0.0396854,0.0245551
0.0210021,0.0405439,0.0242869
0.0210117,0.0387452,0.023924
0.0210033,0.0403647,0.024129
0.0210038,0.0405812,0.023303
