exec_time,write_time,read_time
0.0338545,0.0382031,0.0573964
0.0338382,0.0386666,0.0166389
0.0339729,0.0464633,0.0290359
0.033847,0.108082,0.0735993
0.0338521,0.0486983,0.0317634
0.0338639,0.0461905,0.0203461
0.0338547,0.0463291,0.019859
0.0338546,0.0456547,0.0274492
0.0338735,0.045328,0.0207588
0.0338713,0.0456848,0.0346396
0.0338533,0.103112,0.0629159
0.0339258,0.0385639,0.0388592
0.0338475,0.0392404,0.0307924
0.0338445,0.0399808,0.0305298
0.0338508,0.0402868,0.0302134
0.0338533,0.0396589,0.0288219
0.0338358,0.0405511,0.0406143
0.0338437,0.0385415,0.0303587
0.0338891,0.0389856,0.0315153
0.0338478,0.0390002,0.0259586
0.0338437,0.0397279,0.030617
0.0338436,0.0392442,0.026766
0.0338443,0.0379889,0.0305912
0.0339086,0.0385485,0.0236585
0.0338568,0.0410421,0.0399304
0.0338106,0.0392089,0.028051
0.033808,0.038736,0.0284468
0.0338533,0.0420183,0.0269868
0.0338108,0.0389714,0.0308574
0.0338562,0.0402637,0.0301623
0.0338839,0.0385885,0.0299198
0.0338499,0.0393398,0.0310923
0.0338417,0.0406981,0.0306065
0.0338445,0.0399535,0.0253061
0.0338384,0.0390469,0.0305444
0.0338372,0.0391694,0.0297859
0.0338426,0.040883,0.0375093
0.0338528,0.0400556,0.0276771
0.0338347,0.0403549,0.029094
0.0338422,0.0382776,0.0293586
0.0338395,0.0401765,0.0305114
0.0338659,0.104282,0.05516
0.0338497,0.0398744,0.030359
0.0338384,0.0394398,0.0295839
0.0338492,0.0405877,0.0389352
0.0338421,0.0416324,0.0281281
0.0338433,0.0384827,0.0208461
0.0338452,0.0404907,0.0296579
0.0338465,0.0404705,0.0263569
0.0338438,0.0398803,0.0302872
