exec_time,write_time,read_time
0.021092,0.0381492,0.0594515
0.0210982,0.0406074,0.0168618
0.0211131,0.0388026,0.0167355
0.0211281,0.0404616,0.0181206
0.0210972,0.0400715,0.0183374
0.0211435,0.0386773,0.0152651
0.0210996,0.0384227,0.0176811
0.0211012,0.0480756,0.0260699
0.021096,0.0463361,0.0250566
0.0210753,0.0470009,0.022588
0.0211134,0.0467443,0.0239718
0.0211466,0.0496878,0.0244355
0.0211028,0.0475206,0.0257516
0.0210961,0.0482419,0.0244978
0.0211207,0.0462137,0.0269641
0.0211552,0.0981704,0.0406981
0.0210904,0.240633,0.0859793
0.0210872,0.114285,0.0208665
0.0211045,0.039359,0.0212533
0.0210815,0.0385507,0.0211088
0.0210878,0.040169,0.0208197
0.021082,0.0388677,0.021735
0.0211033,0.0390604,0.0239773
0.0211933,0.0385171,0.0239517
0.0211011,0.24166,0.0795277
0.0210871,0.11746,0.0223822
0.0211073,0.0408667,0.0220426
0.0210881,0.0383456,0.0251975
0.0210893,0.0401176,0.0211717
0.0210742,0.0388229,0.0209638
0.0211717,0.0461491,0.0200845
0.021074,0.0410509,0.0258196
0.0211183,0.0419437,0.024682
0.0210954,0.0425193,0.0256544
0.0211091,0.0401241,0.022217
0.021105,0.241093,0.0814066
0.0210465,0.116604,0.0252961
0.0211288,0.0400398,0.021863
0.0210877,0.0406115,0.0244876
0.0211131,0.0410129,0.0246458
