PyramidalLevels,Load,Preproc,Convert,Lvl1_total,Lvl1_load,Lvl1_exec,Lvl2_total,Lvl2_load,Lvl2_exec,Lvl3_total,Lvl3_load,Lvl3_exec,Lvl4_total,Lvl4_load,Lvl4_exec,RegSum,PyrTotal,PyrTotal_nosetup,FinalTransform,E2E,e2e_total_time_nosetup
4,5.98007,0.80167,9.3599e-05,0.0686013,0.0045246,0.0640614,0.0820079,0.00477363,0.0772119,0.167062,0.00509615,0.161944,0.781296,0.00914328,0.77214,1.09897,2.42373,1.09946,0.0408992,3.2664,1.94212
4,5.8532,0.820485,8.0429e-05,0.0689465,0.00453047,0.064402,0.0833047,0.00497228,0.0783115,0.168171,0.00579883,0.162348,0.786841,0.0107588,0.776054,1.10726,2.45618,1.10756,0.0395197,3.31626,1.96765
4,6.29114,0.813281,0.000105899,0.0687155,0.00430862,0.0643949,0.0817966,0.00456659,0.0772063,0.166923,0.00488197,0.162017,0.782787,0.00859927,0.774165,1.10022,2.4458,1.10047,0.0399567,3.29914,1.95381
4,6.03507,0.804042,0.000172188,0.0689627,0.00450985,0.0644389,0.0822721,0.00478898,0.077461,0.165748,0.0051127,0.160613,0.782441,0.00968723,0.772741,1.09942,2.43353,1.09968,0.0400275,3.27778,1.94392
4,5.89341,0.851249,0.000105519,0.069022,0.0044048,0.0646045,0.0816812,0.00454742,0.0771149,0.167248,0.0048964,0.162329,0.782614,0.00867054,0.77392,1.10057,2.43776,1.10083,0.0429321,3.33205,1.99511
4,6.38971,0.831086,0.000119769,0.0687639,0.00435916,0.0643919,0.0828875,0.00534722,0.0775151,0.166849,0.00490935,0.161915,0.781717,0.00934565,0.772347,1.10022,2.44677,1.10056,0.0411964,3.31918,1.97296
4,5.93059,0.823945,0.000145019,0.0658049,0.00442146,0.061369,0.0794986,0.0045613,0.074919,0.164633,0.00481967,0.159791,0.782479,0.00879547,0.77366,1.09242,2.41986,1.09267,0.0426493,3.2866,1.95941
4,6.02794,0.83496,9.1879e-05,0.0691016,0.0045006,0.0645873,0.0820862,0.00476918,0.0772938,0.167208,0.00518582,0.161999,0.783053,0.00915924,0.773881,1.10145,2.42564,1.10171,0.0408376,3.30153,1.9776
4,6.59159,0.830283,7.884e-05,0.0676561,0.00494976,0.0626936,0.0801477,0.00497008,0.0751641,0.164847,0.00528574,0.15955,0.783385,0.00959819,0.773776,1.09604,2.40533,1.09624,0.0406723,3.27637,1.96728
4,5.98202,0.819348,9.1309e-05,0.0688241,0.00454185,0.0642671,0.0820607,0.0048791,0.0771585,0.167096,0.00511801,0.161955,0.783017,0.00901788,0.773975,1.101,2.42431,1.10127,0.0401787,3.28393,1.96089
