PyramidalLevels,Load,Preproc,Convert,Lvl1_total,Lvl1_load,Lvl1_exec,Lvl2_total,Lvl2_load,Lvl2_exec,RegSum,PyrTotal,PyrTotal_nosetup,FinalTransform,E2E,e2e_total_time_nosetup
2,6.11062,1.80011,0.000158249,0.123792,0.0353437,0.088437,1.98822,0.0576048,1.9306,2.11201,3.57121,2.11225,0.0493248,5.4208,3.96184
2,5.69872,1.87444,6.042e-05,0.119402,0.0331898,0.0862014,1.97183,0.0493874,1.92242,2.09123,3.57644,2.09152,0.0499902,5.50093,4.01601
2,5.81969,1.79723,0.000102409,0.119457,0.0331089,0.0863277,1.97238,0.050486,1.92187,2.09184,3.57265,2.09205,0.0484207,5.4184,3.9378
2,5.99396,1.83984,0.000164178,0.119869,0.0346299,0.0852275,1.9758,0.0504191,1.92535,2.09567,3.54587,2.09587,0.0463679,5.43224,3.98224
2,5.72242,1.78961,0.000100309,0.119126,0.0329505,0.086163,1.97921,0.051969,1.92722,2.09833,3.54371,2.09852,0.0482953,5.38171,3.93652
2,5.81016,1.86081,8.3239e-05,0.119341,0.0330224,0.0863063,1.97118,0.0495584,1.9216,2.09052,3.55714,2.0907,0.0490986,5.46713,4.00069
2,5.61345,1.86025,8.5269e-05,0.119837,0.033047,0.0867793,1.97202,0.0498082,1.92219,2.09185,3.56982,2.09208,0.0472043,5.47737,3.99963
2,5.86492,1.80135,0.000100999,0.118829,0.0330436,0.0857742,1.97877,0.0510066,1.92774,2.0976,3.54834,2.09782,0.0461343,5.39593,3.94541
2,5.67078,1.84733,8.4739e-05,0.119254,0.033132,0.0861101,1.97284,0.0510505,1.92177,2.09209,3.56444,2.0923,0.050016,5.46188,3.98973
2,5.88859,1.81062,0.000100079,0.12212,0.03452,0.0875884,1.97498,0.050569,1.92439,2.0971,3.5521,2.09727,0.045756,5.40857,3.95374
2,5.71352,1.85018,6.18e-05,0.119362,0.0353431,0.0840071,1.9859,0.057448,1.92843,2.10526,3.57175,2.10549,0.0454378,5.46744,4.00117
2,5.96705,1.81476,8.5119e-05,0.122239,0.0342279,0.0879982,1.97389,0.0515137,1.92235,2.09612,3.54589,2.0965,0.0475745,5.40831,3.95892
2,5.6873,1.81924,7.7589e-05,0.118972,0.0330247,0.0859358,1.9672,0.0486796,1.9185,2.08617,3.57042,2.08639,0.0483676,5.4381,3.95407
2,5.95264,1.82683,6.1409e-05,0.121593,0.0340478,0.0875343,1.97334,0.0505464,1.92278,2.09494,3.53845,2.09512,0.0485281,5.41386,3.97054
2,5.90008,1.78138,6.1829e-05,0.11939,0.033146,0.0862275,1.96824,0.0488633,1.91936,2.08763,3.53396,2.08784,0.0471883,5.36259,3.91648
2,5.91678,1.92724,5.095e-05,0.120553,0.0334026,0.0871382,1.96959,0.0498307,1.91973,2.09014,3.53508,2.09033,0.048524,5.51089,4.06615
2,5.9279,1.7959,6.948e-05,0.119545,0.0331438,0.0863888,1.97033,0.0499358,1.92037,2.08987,3.56141,2.09007,0.0491972,5.40657,3.93523
2,5.8289,1.81729,8.5259e-05,0.11951,0.0331667,0.0863314,1.97066,0.0500577,1.92058,2.09017,3.56041,2.09035,0.0474346,5.42522,3.95516
2,5.78441,1.86362,8.2139e-05,0.119579,0.0330955,0.0864668,1.97533,0.0547914,1.92052,2.09491,3.57775,2.09516,0.0484171,5.48987,4.00728
2,5.97066,1.84715,8.541e-05,0.124175,0.0353058,0.088858,1.98954,0.0577885,1.93173,2.11372,3.57525,2.11397,0.0501489,5.47264,4.01135
2,5.90919,1.85227,9.453e-05,0.122279,0.0342941,0.0879739,1.97401,0.0517353,1.92225,2.09629,3.54922,2.09648,0.047036,5.44862,3.99588
2,6.1742,1.82284,9.0949e-05,0.119614,0.0342674,0.0853326,1.97156,0.0511925,1.92035,2.09118,3.53953,2.09135,0.0493396,5.4118,3.96362
2,5.74065,1.85762,0.000101049,0.119334,0.0330219,0.0863006,1.96934,0.0491176,1.92021,2.08868,3.56726,2.0889,0.0479506,5.47293,3.99457
2,5.93816,1.85921,7.196e-05,0.119296,0.0330727,0.0862127,1.97059,0.0491494,1.92142,2.08988,3.57121,2.09007,0.0492144,5.47971,3.99857
2,6.07654,1.8271,8.939e-05,0.123672,0.0350549,0.0886066,1.98524,0.0555791,1.92964,2.10891,3.56356,2.10916,0.0487568,5.43951,3.98511
2,5.97068,1.80527,9.4259e-05,0.11993,0.0331963,0.0867228,1.97423,0.0516334,1.92258,2.09416,3.57125,2.09434,0.0480565,5.42467,3.94776
2,6.0765,1.83272,0.000104199,0.118731,0.0329118,0.0858069,1.97136,0.0488158,1.92253,2.09009,3.53374,2.09028,0.0453171,5.41188,3.96842
2,6.08072,1.77761,8.6159e-05,0.119788,0.0338263,0.0859505,1.97007,0.0497798,1.92026,2.08985,3.563,2.09009,0.0452175,5.38591,3.91301
2,5.97804,1.79665,7.0149e-05,0.118644,0.0329338,0.085699,1.97023,0.0498821,1.92033,2.08887,3.53049,2.08906,0.0483022,5.37551,3.93409
2,6.00492,1.82387,8.391e-05,0.122481,0.0341723,0.0882969,1.97444,0.0517246,1.9227,2.09692,3.5507,2.09737,0.0482729,5.42293,3.9696
2,6.0471,1.86709,8.1369e-05,0.123927,0.03513,0.0887852,1.98982,0.0567754,1.93302,2.11375,3.56895,2.11409,0.0487786,5.4849,4.03004
