PyramidalLevels,Load,Preproc,Convert,Lvl1_total,Lvl1_load,Lvl1_exec,Lvl2_total,Lvl2_load,Lvl2_exec,Lvl3_total,Lvl3_load,Lvl3_exec,Lvl4_total,Lvl4_load,Lvl4_exec,RegSum,PyrTotal,PyrTotal_nosetup,FinalTransform,E2E,e2e_total_time_nosetup
4,5.83201,0.816246,5.363e-05,0.0815546,0.00756979,0.0655069,0.0945565,0.0082206,0.0781509,0.174033,0.00795592,0.158134,0.797849,0.0081719,0.781358,1.14799,19.1473,19.1473,0.0357127,19.9993,19.9993
4,6.04434,0.79995,7.872e-05,0.0848492,0.00770959,0.0680826,0.0944404,0.00786848,0.0785418,0.174464,0.00782726,0.158584,0.796707,0.00778854,0.78114,1.15046,19.1292,19.1292,0.0351677,19.9644,19.9644
4,6.08467,0.808952,8.7459e-05,0.0846961,0.00768031,0.0681058,0.09636,0.0114571,0.0765292,0.174877,0.00830801,0.158056,0.798207,0.00861215,0.781006,1.15414,19.0712,19.0712,0.0351758,19.9154,19.9154
4,5.92026,0.758173,0.00016009,0.0847242,0.00759386,0.0684971,0.0943294,0.00812151,0.0780302,0.17417,0.00820623,0.157874,0.802353,0.0104763,0.783441,1.15558,19.2008,19.2008,0.0337101,19.9929,19.9929
4,5.72485,0.792342,6.19e-05,0.0849201,0.00775683,0.0681826,0.0957047,0.00868442,0.0784136,0.174218,0.00987894,0.155991,0.803038,0.0081848,0.786854,1.15788,19.1964,19.1964,0.0365804,20.0254,20.0254
4,5.67095,0.839002,5.314e-05,0.0841634,0.00753988,0.068017,0.0940841,0.00784131,0.0782034,0.172164,0.00794589,0.156249,0.797733,0.00820795,0.781502,1.14814,19.0417,19.0417,0.0341085,19.9148,19.9148
4,5.68837,0.798875,0.00045729,0.0929099,0.0156176,0.068508,0.093794,0.00789946,0.0780445,0.211281,0.0167895,0.160269,0.798869,0.00888218,0.781145,1.19685,19.1415,19.1415,0.0375363,19.9784,19.9784
4,5.68173,0.804604,5.046e-05,0.0880609,0.00947323,0.0690015,0.0948979,0.00803779,0.0787234,0.174306,0.0082473,0.158389,0.797506,0.00812686,0.78126,1.15477,19.207,19.207,0.0359733,20.0477,20.0477
4,5.97353,0.825055,8.099e-05,0.0850461,0.00766238,0.0690556,0.0952604,0.00825603,0.0784302,0.174961,0.00858777,0.157978,0.797899,0.00839891,0.781167,1.15317,19.1838,19.1838,0.0371519,20.046,20.046
4,5.70209,0.787371,6.1249e-05,0.0901171,0.0128824,0.0684616,0.0944244,0.00789645,0.0784647,0.170174,0.00778777,0.154514,0.797635,0.00804111,0.781452,1.15235,19.0101,19.0101,0.0346336,19.8322,19.8322
4,5.68343,0.769569,7.9689e-05,0.081987,0.00777452,0.0652738,0.0968563,0.00882752,0.0788574,0.173635,0.0083918,0.157052,0.796759,0.00814329,0.780321,1.14924,19.1276,19.1276,0.0362833,19.9335,19.9335
4,5.76649,0.812709,3.994e-05,0.084987,0.00749603,0.0684869,0.0953511,0.00830139,0.0786624,0.174521,0.00811121,0.158164,0.797568,0.00835023,0.781252,1.15243,19.2241,19.2241,0.0366376,20.0735,20.0735
4,5.70342,0.813072,6.001e-05,0.0909884,0.0137617,0.0683871,0.096009,0.00815584,0.0791426,0.175567,0.00834852,0.158341,0.799207,0.00865711,0.781867,1.16177,19.2702,19.2702,0.0349479,20.1183,20.1183
4,5.70296,0.806634,6.175e-05,0.0846512,0.00768199,0.0684608,0.0948003,0.00802579,0.0784184,0.17482,0.00797335,0.15878,0.797802,0.00829689,0.781271,1.15207,18.7434,18.7434,0.0345798,19.5847,19.5847
4,5.59178,0.795706,5.636e-05,0.0855407,0.00802623,0.0684881,0.0936394,0.00808511,0.0772899,0.174831,0.00839591,0.158182,0.797297,0.00825047,0.780989,1.15131,18.8001,18.8001,0.0363866,19.6323,19.6323
4,5.73644,0.808141,0.00010087,0.0947106,0.0161175,0.068579,0.0948363,0.00835191,0.0784289,0.174219,0.00823001,0.157943,0.797172,0.0081408,0.780897,1.16094,19.393,19.393,0.0373269,20.2386,20.2386
4,5.65712,0.807795,6.444e-05,0.0863516,0.00829371,0.0683908,0.0950503,0.00822941,0.0782182,0.17293,0.00840158,0.156162,0.798344,0.00853505,0.781323,1.15268,18.999,18.999,0.0350148,19.8419,19.8419
4,5.6884,0.788835,5.232e-05,0.084945,0.00766964,0.0682748,0.0953946,0.00836429,0.0786464,0.173866,0.00796111,0.157859,0.797445,0.00828295,0.780898,1.15165,19.1431,19.1431,0.0350388,19.967,19.967
4,5.98957,0.794602,5.47e-05,0.095058,0.0182557,0.06828,0.0931594,0.00810382,0.0769232,0.174597,0.0082359,0.158111,0.797526,0.00830265,0.780962,1.16034,19.1493,19.1493,0.0365098,19.9805,19.9805
4,5.78147,0.801466,7.124e-05,0.0857825,0.0077947,0.0686192,0.0953809,0.00835268,0.0784619,0.174448,0.00813602,0.158081,0.797865,0.00825191,0.781386,1.15348,19.4269,19.4269,0.0343818,20.2628,20.2628
4,5.76882,0.802913,4.902e-05,0.0850635,0.00763969,0.0684246,0.095289,0.00843613,0.0784059,0.175378,0.00873838,0.158151,0.798589,0.00853371,0.781386,1.15432,19.1018,19.1018,0.0360797,19.9409,19.9409
4,5.37126,0.777172,5.761e-05,0.0834642,0.00846331,0.0653205,0.0950647,0.00847705,0.0780995,0.1736,0.00874621,0.156441,0.798063,0.00844196,0.781069,1.15019,19.1916,19.1916,0.0348196,20.0037,20.0037
